"","steps","date","interval","meanstepsperinterval","totalstepsperday","datenumber","dateaux"
"1",1.71698113207547,"2012-10-01","0",1.71698113207547,10766.1886792453,1,"weekend"
"2",0.339622641509434,"2012-10-01","5",0.339622641509434,10766.1886792453,1,"weekend"
"3",0.132075471698113,"2012-10-01","10",0.132075471698113,10766.1886792453,1,"weekend"
"4",0.150943396226415,"2012-10-01","15",0.150943396226415,10766.1886792453,1,"weekend"
"5",0.0754716981132075,"2012-10-01","20",0.0754716981132075,10766.1886792453,1,"weekend"
"6",2.09433962264151,"2012-10-01","25",2.09433962264151,10766.1886792453,1,"weekend"
"7",0.528301886792453,"2012-10-01","30",0.528301886792453,10766.1886792453,1,"weekend"
"8",0.867924528301887,"2012-10-01","35",0.867924528301887,10766.1886792453,1,"weekend"
"9",0,"2012-10-01","40",0,10766.1886792453,1,"weekend"
"10",1.47169811320755,"2012-10-01","45",1.47169811320755,10766.1886792453,1,"weekend"
"11",0.30188679245283,"2012-10-01","50",0.30188679245283,10766.1886792453,1,"weekend"
"12",0.132075471698113,"2012-10-01","55",0.132075471698113,10766.1886792453,1,"weekend"
"13",0.320754716981132,"2012-10-01","100",0.320754716981132,10766.1886792453,1,"weekend"
"14",0.679245283018868,"2012-10-01","105",0.679245283018868,10766.1886792453,1,"weekend"
"15",0.150943396226415,"2012-10-01","110",0.150943396226415,10766.1886792453,1,"weekend"
"16",0.339622641509434,"2012-10-01","115",0.339622641509434,10766.1886792453,1,"weekend"
"17",0,"2012-10-01","120",0,10766.1886792453,1,"weekend"
"18",1.11320754716981,"2012-10-01","125",1.11320754716981,10766.1886792453,1,"weekend"
"19",1.83018867924528,"2012-10-01","130",1.83018867924528,10766.1886792453,1,"weekend"
"20",0.169811320754717,"2012-10-01","135",0.169811320754717,10766.1886792453,1,"weekend"
"21",0.169811320754717,"2012-10-01","140",0.169811320754717,10766.1886792453,1,"weekend"
"22",0.377358490566038,"2012-10-01","145",0.377358490566038,10766.1886792453,1,"weekend"
"23",0.264150943396226,"2012-10-01","150",0.264150943396226,10766.1886792453,1,"weekend"
"24",0,"2012-10-01","155",0,10766.1886792453,1,"weekend"
"25",0,"2012-10-01","200",0,10766.1886792453,1,"weekend"
"26",0,"2012-10-01","205",0,10766.1886792453,1,"weekend"
"27",1.13207547169811,"2012-10-01","210",1.13207547169811,10766.1886792453,1,"weekend"
"28",0,"2012-10-01","215",0,10766.1886792453,1,"weekend"
"29",0,"2012-10-01","220",0,10766.1886792453,1,"weekend"
"30",0.132075471698113,"2012-10-01","225",0.132075471698113,10766.1886792453,1,"weekend"
"31",0,"2012-10-01","230",0,10766.1886792453,1,"weekend"
"32",0.226415094339623,"2012-10-01","235",0.226415094339623,10766.1886792453,1,"weekend"
"33",0,"2012-10-01","240",0,10766.1886792453,1,"weekend"
"34",0,"2012-10-01","245",0,10766.1886792453,1,"weekend"
"35",1.54716981132075,"2012-10-01","250",1.54716981132075,10766.1886792453,1,"weekend"
"36",0.943396226415094,"2012-10-01","255",0.943396226415094,10766.1886792453,1,"weekend"
"37",0,"2012-10-01","300",0,10766.1886792453,1,"weekend"
"38",0,"2012-10-01","305",0,10766.1886792453,1,"weekend"
"39",0,"2012-10-01","310",0,10766.1886792453,1,"weekend"
"40",0,"2012-10-01","315",0,10766.1886792453,1,"weekend"
"41",0.207547169811321,"2012-10-01","320",0.207547169811321,10766.1886792453,1,"weekend"
"42",0.622641509433962,"2012-10-01","325",0.622641509433962,10766.1886792453,1,"weekend"
"43",1.62264150943396,"2012-10-01","330",1.62264150943396,10766.1886792453,1,"weekend"
"44",0.584905660377358,"2012-10-01","335",0.584905660377358,10766.1886792453,1,"weekend"
"45",0.490566037735849,"2012-10-01","340",0.490566037735849,10766.1886792453,1,"weekend"
"46",0.0754716981132075,"2012-10-01","345",0.0754716981132075,10766.1886792453,1,"weekend"
"47",0,"2012-10-01","350",0,10766.1886792453,1,"weekend"
"48",0,"2012-10-01","355",0,10766.1886792453,1,"weekend"
"49",1.18867924528302,"2012-10-01","400",1.18867924528302,10766.1886792453,1,"weekend"
"50",0.943396226415094,"2012-10-01","405",0.943396226415094,10766.1886792453,1,"weekend"
"51",2.56603773584906,"2012-10-01","410",2.56603773584906,10766.1886792453,1,"weekend"
"52",0,"2012-10-01","415",0,10766.1886792453,1,"weekend"
"53",0.339622641509434,"2012-10-01","420",0.339622641509434,10766.1886792453,1,"weekend"
"54",0.358490566037736,"2012-10-01","425",0.358490566037736,10766.1886792453,1,"weekend"
"55",4.11320754716981,"2012-10-01","430",4.11320754716981,10766.1886792453,1,"weekend"
"56",0.660377358490566,"2012-10-01","435",0.660377358490566,10766.1886792453,1,"weekend"
"57",3.49056603773585,"2012-10-01","440",3.49056603773585,10766.1886792453,1,"weekend"
"58",0.830188679245283,"2012-10-01","445",0.830188679245283,10766.1886792453,1,"weekend"
"59",3.11320754716981,"2012-10-01","450",3.11320754716981,10766.1886792453,1,"weekend"
"60",1.11320754716981,"2012-10-01","455",1.11320754716981,10766.1886792453,1,"weekend"
"61",0,"2012-10-01","500",0,10766.1886792453,1,"weekend"
"62",1.56603773584906,"2012-10-01","505",1.56603773584906,10766.1886792453,1,"weekend"
"63",3,"2012-10-01","510",3,10766.1886792453,1,"weekend"
"64",2.24528301886792,"2012-10-01","515",2.24528301886792,10766.1886792453,1,"weekend"
"65",3.32075471698113,"2012-10-01","520",3.32075471698113,10766.1886792453,1,"weekend"
"66",2.9622641509434,"2012-10-01","525",2.9622641509434,10766.1886792453,1,"weekend"
"67",2.09433962264151,"2012-10-01","530",2.09433962264151,10766.1886792453,1,"weekend"
"68",6.05660377358491,"2012-10-01","535",6.05660377358491,10766.1886792453,1,"weekend"
"69",16.0188679245283,"2012-10-01","540",16.0188679245283,10766.1886792453,1,"weekend"
"70",18.3396226415094,"2012-10-01","545",18.3396226415094,10766.1886792453,1,"weekend"
"71",39.4528301886792,"2012-10-01","550",39.4528301886792,10766.1886792453,1,"weekend"
"72",44.4905660377358,"2012-10-01","555",44.4905660377358,10766.1886792453,1,"weekend"
"73",31.4905660377358,"2012-10-01","600",31.4905660377358,10766.1886792453,1,"weekend"
"74",49.2641509433962,"2012-10-01","605",49.2641509433962,10766.1886792453,1,"weekend"
"75",53.7735849056604,"2012-10-01","610",53.7735849056604,10766.1886792453,1,"weekend"
"76",63.4528301886792,"2012-10-01","615",63.4528301886792,10766.1886792453,1,"weekend"
"77",49.9622641509434,"2012-10-01","620",49.9622641509434,10766.1886792453,1,"weekend"
"78",47.0754716981132,"2012-10-01","625",47.0754716981132,10766.1886792453,1,"weekend"
"79",52.1509433962264,"2012-10-01","630",52.1509433962264,10766.1886792453,1,"weekend"
"80",39.3396226415094,"2012-10-01","635",39.3396226415094,10766.1886792453,1,"weekend"
"81",44.0188679245283,"2012-10-01","640",44.0188679245283,10766.1886792453,1,"weekend"
"82",44.1698113207547,"2012-10-01","645",44.1698113207547,10766.1886792453,1,"weekend"
"83",37.3584905660377,"2012-10-01","650",37.3584905660377,10766.1886792453,1,"weekend"
"84",49.0377358490566,"2012-10-01","655",49.0377358490566,10766.1886792453,1,"weekend"
"85",43.811320754717,"2012-10-01","700",43.811320754717,10766.1886792453,1,"weekend"
"86",44.377358490566,"2012-10-01","705",44.377358490566,10766.1886792453,1,"weekend"
"87",50.5094339622642,"2012-10-01","710",50.5094339622642,10766.1886792453,1,"weekend"
"88",54.5094339622642,"2012-10-01","715",54.5094339622642,10766.1886792453,1,"weekend"
"89",49.9245283018868,"2012-10-01","720",49.9245283018868,10766.1886792453,1,"weekend"
"90",50.9811320754717,"2012-10-01","725",50.9811320754717,10766.1886792453,1,"weekend"
"91",55.6792452830189,"2012-10-01","730",55.6792452830189,10766.1886792453,1,"weekend"
