"","steps","date","interval","totalstepsperday","meanstepsperinterval"
"1","0","2012-10-02","0",126,1.71698113207547
"2","0","2012-10-02","5",126,0.339622641509434
"3","0","2012-10-02","10",126,0.132075471698113
"4","0","2012-10-02","15",126,0.150943396226415
"5","0","2012-10-02","20",126,0.0754716981132075
"6","0","2012-10-02","25",126,2.09433962264151
"7","0","2012-10-02","30",126,0.528301886792453
"8","0","2012-10-02","35",126,0.867924528301887
"9","0","2012-10-02","40",126,0
"10","0","2012-10-02","45",126,1.47169811320755
"11","0","2012-10-02","50",126,0.30188679245283
"12","0","2012-10-02","55",126,0.132075471698113
"13","0","2012-10-02","100",126,0.320754716981132
"14","0","2012-10-02","105",126,0.679245283018868
"15","0","2012-10-02","110",126,0.150943396226415
"16","0","2012-10-02","115",126,0.339622641509434
"17","0","2012-10-02","120",126,0
"18","0","2012-10-02","125",126,1.11320754716981
"19","0","2012-10-02","130",126,1.83018867924528
"20","0","2012-10-02","135",126,0.169811320754717
"21","0","2012-10-02","140",126,0.169811320754717
"22","0","2012-10-02","145",126,0.377358490566038
"23","0","2012-10-02","150",126,0.264150943396226
"24","0","2012-10-02","155",126,0
"25","0","2012-10-02","200",126,0
"26","0","2012-10-02","205",126,0
"27","0","2012-10-02","210",126,1.13207547169811
"28","0","2012-10-02","215",126,0
"29","0","2012-10-02","220",126,0
"30","0","2012-10-02","225",126,0.132075471698113
"31","0","2012-10-02","230",126,0
"32","0","2012-10-02","235",126,0.226415094339623
"33","0","2012-10-02","240",126,0
"34","0","2012-10-02","245",126,0
"35","0","2012-10-02","250",126,1.54716981132075
"36","0","2012-10-02","255",126,0.943396226415094
"37","0","2012-10-02","300",126,0
"38","0","2012-10-02","305",126,0
"39","0","2012-10-02","310",126,0
"40","0","2012-10-02","315",126,0
"41","0","2012-10-02","320",126,0.207547169811321
"42","0","2012-10-02","325",126,0.622641509433962
"43","0","2012-10-02","330",126,1.62264150943396
"44","0","2012-10-02","335",126,0.584905660377358
"45","0","2012-10-02","340",126,0.490566037735849
"46","0","2012-10-02","345",126,0.0754716981132075
"47","0","2012-10-02","350",126,0
"48","0","2012-10-02","355",126,0
"49","0","2012-10-02","400",126,1.18867924528302
"50","0","2012-10-02","405",126,0.943396226415094
"51","0","2012-10-02","410",126,2.56603773584906
"52","0","2012-10-02","415",126,0
"53","0","2012-10-02","420",126,0.339622641509434
"54","0","2012-10-02","425",126,0.358490566037736
"55","0","2012-10-02","430",126,4.11320754716981
"56","0","2012-10-02","435",126,0.660377358490566
"57","0","2012-10-02","440",126,3.49056603773585
"58","0","2012-10-02","445",126,0.830188679245283
"59","0","2012-10-02","450",126,3.11320754716981
"60","0","2012-10-02","455",126,1.11320754716981
"61","0","2012-10-02","500",126,0
"62","0","2012-10-02","505",126,1.56603773584906
"63","0","2012-10-02","510",126,3
"64","0","2012-10-02","515",126,2.24528301886792
"65","0","2012-10-02","520",126,3.32075471698113
"66","0","2012-10-02","525",126,2.9622641509434
"67","0","2012-10-02","530",126,2.09433962264151
"68","0","2012-10-02","535",126,6.05660377358491
"69","0","2012-10-02","540",126,16.0188679245283
"70","0","2012-10-02","545",126,18.3396226415094
"71","0","2012-10-02","550",126,39.4528301886792
"72","0","2012-10-02","555",126,44.4905660377358
"73","0","2012-10-02","600",126,31.4905660377358
"74","0","2012-10-02","605",126,49.2641509433962
"75","0","2012-10-02","610",126,53.7735849056604
"76","0","2012-10-02","615",126,63.4528301886792
"77","0","2012-10-02","620",126,49.9622641509434
"78","0","2012-10-02","625",126,47.0754716981132
"79","0","2012-10-02","630",126,52.1509433962264
"80","0","2012-10-02","635",126,39.3396226415094
"81","0","2012-10-02","640",126,44.0188679245283
"82","0","2012-10-02","645",126,44.1698113207547
"83","0","2012-10-02","650",126,37.3584905660377
"84","0","2012-10-02","655",126,49.0377358490566
"85","0","2012-10-02","700",126,43.811320754717
"86","0","2012-10-02","705",126,44.377358490566
"87","0","2012-10-02","710",126,50.5094339622642
"88","0","2012-10-02","715",126,54.5094339622642
"89","0","2012-10-02","720",126,49.9245283018868
"90","0","2012-10-02","725",126,50.9811320754717
"91","0","2012-10-02","730",126,55.6792452830189
"92","0","2012-10-02","735",126,44.3207547169811
"93","0","2012-10-02","740",126,52.2641509433962
"94","0","2012-10-02","745",126,69.5471698113208
"95","0","2012-10-02","750",126,57.8490566037736
"96","0","2012-10-02","755",126,56.1509433962264
"97","0","2012-10-02","800",126,73.377358490566
"98","0","2012-10-02","805",126,68.2075471698113
"99","0","2012-10-02","810",126,129.433962264151
"100","0","2012-10-02","815",126,157.528301886792
"101","0","2012-10-02","820",126,171.150943396226
"102","0","2012-10-02","825",126,155.396226415094
